what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1296647844072
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1296647844072
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296647844072
java.vm.specification.version,sysinfo,,,"1.0",1296647844072
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1296647844072
java.vm.version,sysinfo,,,"16.0-b13",1296647844072
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1296647844156
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1296647844313
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1296647844981
started,bundle,org.eclipse.jem.util,2.0.200.v200905140200,"org.eclipse.jem.util",1296647844988
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1296647844999
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1296647845038
started,bundle,org.eclipse.jst.jsf.common,1.1.7.v20090903,"org.eclipse.jst.jsf.common",1296647845057
started,bundle,org.eclipse.jst.jsf.core,1.2.2.v20090903,"org.eclipse.jst.jsf.core",1296647845083
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1296647845125
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1296647845139
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1296647845164
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1296647845207
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1296647845221
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.jst.common.project.facet.core",1296647845314
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296647848624
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296647856814
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1296647860754
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1296647860814
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1296647861321
