what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1294830589668
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1294830589668
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1294830589668
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1294830589668
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1294830589668
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1294830589668
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1294830589668
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1294830589668
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1294830589668
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1294830589668
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1294830589669
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1294830589669
os,sysinfo,,,"linux",1294830589673
arch,sysinfo,,,"x86",1294830589673
ws,sysinfo,,,"gtk",1294830589673
locale,sysinfo,,,"zh_CN",1294830589673
processors,sysinfo,,,"2",1294830589673
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1294830589673
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1294830589673
java.specification.name,sysinfo,,,"Java Platform API Specification",1294830589673
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1294830589673
java.specification.version,sysinfo,,,"1.6",1294830589673
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1294830589673
java.version,sysinfo,,,"1.6.0_18",1294830589673
java.vm.info,sysinfo,,,"mixed mode, sharing",1294830589673
