what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui",1296647844063
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1296647844063
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1296647844063
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1296647844064
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1296647844064
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1296647844064
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1296647844064
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1296647844064
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1296647844065
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1296647844065
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1296647844066
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1296647844066
os,sysinfo,,,"linux",1296647844071
arch,sysinfo,,,"x86",1296647844071
ws,sysinfo,,,"gtk",1296647844071
locale,sysinfo,,,"zh_CN",1296647844071
processors,sysinfo,,,"2",1296647844072
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1296647844072
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1296647844072
java.specification.name,sysinfo,,,"Java Platform API Specification",1296647844072
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296647844072
java.specification.version,sysinfo,,,"1.6",1296647844072
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1296647844072
java.version,sysinfo,,,"1.6.0_18",1296647844072
java.vm.info,sysinfo,,,"mixed mode, sharing",1296647844072
