what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294832059648
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294832061617
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294832077220
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294832112057
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294832133710
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.refactor.migrate.jar",1294832152840
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294832152903
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1294832154660
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294832175546
error,log,,,"Transfer Exception",1294832340721
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294832349536
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294832352434
error,log,,,"Transfer Exception",1294832702892
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294832707069
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294832708699
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294833029870
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294833031951
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294833034999
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1294833036662
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1294833036662
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1294833036663
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1294833036663
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1294833036663
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1294833036721
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1294833036740
