what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294831117777
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294831117912
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294831120400
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1294831122554
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1294831135286
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294831160499
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294831177025
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1294831177041
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294831182619
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294831183642
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294831183718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294831185395
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1294831186913
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.301.v200909020100,"org.eclipse.jst.j2ee.J2EEPerspective",1294831195643
activated,perspective,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavaPerspective",1294831201623
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.301.v200909020100,"org.eclipse.jst.j2ee.J2EEPerspective",1294831203763
activated,perspective,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavaPerspective",1294831213524
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.301.v200909020100,"org.eclipse.jst.j2ee.J2EEPerspective",1294831215884
activated,perspective,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavaPerspective",1294831218112
opened,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1294831239564
activated,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1294831239648
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.help.quickStartAction",1294831239753
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294831275289
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1294831275360
opened,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1294831280762
