what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"gtk",1316144586468
locale,sysinfo,,,"zh_CN",1316144586468
processors,sysinfo,,,"2",1316144586468
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1316144586468
java.runtime.version,sysinfo,,,"1.7.0-b147",1316144586468
java.specification.name,sysinfo,,,"Java Platform API Specification",1316144586468
java.specification.vendor,sysinfo,,,"Oracle Corporation",1316144586468
java.specification.version,sysinfo,,,"1.7",1316144586468
java.vendor,sysinfo,,,"Oracle Corporation",1316144586468
java.version,sysinfo,,,"1.7.0",1316144586468
java.vm.info,sysinfo,,,"mixed mode",1316144586468
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1316144586468
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1316144586468
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1316144586468
java.vm.specification.version,sysinfo,,,"1.7",1316144586468
java.vm.vendor,sysinfo,,,"Oracle Corporation",1316144586468
java.vm.version,sysinfo,,,"21.0-b17",1316144586468
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1316144591202
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1316144591229
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1316144592021
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1316144592030
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1316144592058
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1316144592094
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1316144592122
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1316144592132
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316144592712
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.install",1316144605545
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316144605677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316144618718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1316144626850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316144626977
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316144652674
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1316144658200
started,bundle,org.eclipse.php.ui,3.0.0.v20110516-1100,"org.eclipse.php.ui",1316144658234
started,bundle,org.eclipse.php.server.core,3.0.0.v20110516-1100,"org.eclipse.php.server.core",1316144658459
started,bundle,org.eclipse.php.core,3.0.0.v20110516-1100,"org.eclipse.php.core",1316144658495
started,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1316144659426
started,bundle,org.eclipse.dltk.core.index.sql,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql",1316144660072
started,bundle,org.eclipse.dltk.core.index.sql.h2,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql.h2",1316144660876
